Height,Weight,Birthplace,Siblings
73,185,VA,1
70,160,VA,0
70,170,VA,1
74,170,SC,2
72,150,VA,2
74,302,NC,1
70,173,VA,2
67,161,VA,2
72,186,DC,2
72,225,VA,2
68,160,VA,1
73,170,TX,2
72,195,NC,1
70,135,VA,2
73,225,VA,1
71,165,VA,0
66,159,VA,0
70,200,VA,1
68,145,VA,6
70,180,VA,3
72,185,NC,2
67,160,VA,2
71,185,VA,1
71,180,VA,2
74,185,NC,1
67,160,GA,2
71,168,NC,1
69,170,GA,3
68,160,GA,1
72,170,NC,1
70,290,FL,2
70,142,VA,3
75,205,VA ,1
68,200,VA,7
70,185,OK,3
74,165,DC,2
72,175,VA,2
72,190,VA,2
79,315,MD,2
69,210,VA,2
74,175,VA,2
76,196,VA,1
72,210,VA,2
67,155,VA,3
72,200,NC,1
63,170,NJ,2
74,190,MD,2
72,185,VA,0
71,220,Germany,2
75,190,NC,2
71,150,NC,2
69,155,CA,2
73,175,NC,1
73,225,DC,1
71,210,CA,3
73,155,VA,3
72,225,El Salvador,2
72,180,VA,1
68,149,TX,2
75,220,VA,2
63,105,UT,1
75,183,KY,1
74,250,VA,1
70,190,Al,2
73,255,NC,1
68,160,VA,3
72,185,MA,3
78,176,VA,6
72,150,NSGB,2
72,185,NC,1
77,170,NC,2
69,150,GA,1
